day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl,tvl_change,liquidity_flow,prev_tvl_change,prev_flow,tvl_ma_3d,tvl_ma_7d,tvl_ma_30d,tvl_momentum,pool_ratio,tvl_volatility_7d,day_of_week,month,pct_from_ma7
2021-06-04 00:00:00+00:00,1821.3386135359092,2925835.149178013,4894345.58066334,2928019.407026667,7822364.987690007,-2113393.390192952,0,7384900.312279894,1.0,6769660.477058676,3203855.81409407,1616078.0172335317,4618509.173595937,0.6256861688716305,3993864.637551957,4,6,144.1547136197163
2021-06-05 00:00:00+00:00,1558.3751614114467,1605964.7713480182,4199786.754106206,1607280.786986678,5807067.541092884,-2015297.4465971235,0,-2113393.390192952,0.0,7855063.635555285,3965697.60198249,1792475.4568058331,1841369.9391103936,0.7232198910012696,3893765.576322468,5,6,46.43243443952648
2021-06-06 00:00:00+00:00,1741.967556988738,3483207.535392996,4692317.685305711,3485149.9557506726,8177467.641056383,2370400.0999634992,1,-2015297.4465971235,0.0,7268966.723279758,5067655.722543359,1972589.771090028,3109811.918513024,0.5738106087692872,3828483.7242415547,6,6,61.36588767621076
2021-06-07 00:00:00+00:00,2565.6131854335067,2949572.440072011,7060560.181442166,2950548.0316397147,10011108.21308188,1833640.5720254965,1,2370400.0999634992,1.0,7998547.798410382,6421856.002135332,2255061.7108210553,3589252.210946548,0.7052725863272433,3627891.9945008648,0,6,55.89119733848105
2021-06-08 00:00:00+00:00,3607.652903897327,5147386.052176084,9025185.851209767,5154101.728797445,14179287.580007212,4168179.3669253327,1,1833640.5720254965,1.0,10789287.811381824,8354844.62948777,2676527.2772161616,5824442.950519443,0.6365048878714664,3643694.5150245233,1,6,69.71336043715914
2021-06-09 00:00:00+00:00,2571.258583148377,7557179.924000125,6493918.002510502,7560933.375842784,14054851.378353288,-124436.20165392384,0,4168179.3669253327,1.0,12748415.723814128,9998272.245594945,3087088.0743798264,4056579.1327583436,0.46204102965558014,3150579.1771934857,2,6,40.572801311202525
2021-06-10 00:00:00+00:00,5645.293856316632,7927634.941120129,14282804.174914924,7931972.926444006,22214777.10135893,8159925.723005643,1,-124436.20165392384,0.0,16816305.35323981,11752417.777520085,3772732.236872809,10462359.323838847,0.6429415928751863,5586543.236319894,3,6,89.02303782844709
2021-06-11 00:00:00+00:00,8125.341807160832,6788189.564287182,19776268.860188935,6793682.718131272,26569951.578320205,4355174.476961274,1,8159925.723005643,1.0,20946526.686010808,14430644.433324397,4618284.354875167,12139307.144995809,0.7443095559242725,7540562.5216293475,4,6,84.12172582509726
2021-06-12 00:00:00+00:00,8189.518986362091,9349183.78167921,19388960.890328165,9360098.174645662,28749059.064973827,2179107.4866536222,1,4355174.476961274,1.0,25844595.914884318,17708071.79387882,5536760.935081016,11040987.271095008,0.6744207122225625,8130402.893637713,5,6,62.3500254551236
2021-06-13 00:00:00+00:00,4333.077243218751,14465695.820961218,10363995.125795055,14478924.699789489,24842919.825584546,-3906139.2393892817,0,2179107.4866536222,1.0,26720643.489626188,20088850.677382838,6325185.523206759,4754069.148201708,0.41718103985191257,7268855.842450987,6,6,23.66521223413795
2021-06-14 00:00:00+00:00,6414.270904945886,19922104.403920364,16155566.667110354,19934703.19808463,36090269.865194984,11247350.039610438,1,-3906139.2393892817,0.0,29894082.91858445,23814445.199113283,7488361.3919221,12275824.6660817,0.44764327691244515,7898752.3552233195,0,6,51.54780874987078
2021-06-15 00:00:00+00:00,9151.747123725756,19854514.29216246,23589417.2318236,19864904.13191583,43454321.36373943,7364051.498544447,1,11247350.039610438,1.0,34795837.01817299,27996592.882503603,8897181.58755357,15457728.481235828,0.5428554972557424,9528883.209413884,1,6,55.21289160473557
2021-06-16 00:00:00+00:00,12469.106245045668,11338112.683759537,30856628.741974153,11347079.792365178,42203708.53433933,-1250612.8294000998,0,7364051.498544447,1.0,40582766.587757915,32017858.190501608,10272678.66458008,10185850.343837723,0.7311354810648323,8554469.081001164,2,6,31.813028476899962
2021-06-17 00:00:00+00:00,13685.943904399152,13595149.980554575,32802397.16828053,13599422.728489742,46401819.89677027,4198111.362430938,1,-1250612.8294000998,0.0,44019949.93161634,35473150.018417515,11776178.773710234,10928669.878352754,0.7069204880596438,8815689.723077908,3,6,30.808287035909228
2021-06-18 00:00:00+00:00,17036.3263038715,9007155.490550574,38897935.896880925,9011785.919069022,47909721.81594995,1507901.919179678,1,4198111.362430938,1.0,45505083.41568652,38521688.623793185,13336754.898618035,9388033.192156762,0.8119006836714955,8912954.747385547,4,6,24.37077274530011
2021-06-19 00:00:00+00:00,19252.753789000715,6429799.588033538,42877689.639267474,6436542.773374398,49314232.412641875,1404510.5966919288,1,1507901.919179678,1.0,47875258.04178736,41459570.53060292,14947057.883959435,7854661.882038958,0.8694790031503284,8536209.50447213,5,6,18.94535274127147
2021-06-20 00:00:00+00:00,17154.56721549677,13431407.158753583,37202731.6858666,13451758.632082572,50654490.317949176,1340257.9053073004,1,1404510.5966919288,1.0,49292814.848847,45146937.74379785,16602810.526169913,5507552.574151322,0.7344409439785439,5007626.961511991,6,6,12.19917196910644
2021-06-21 00:00:00+00:00,19420.994098541392,2898334.2186427526,39250799.44851712,2904329.0606822427,42155128.509199366,-8499361.80874981,0,1340257.9053073004,1.0,47374617.079930134,46013346.12151277,17979195.24978889,-3858217.6123134047,0.9311037787478588,3467251.8370235832,0,6,-8.38499682706092
2021-06-22 00:00:00+00:00,18827.645110899284,5867287.423849832,35722189.21701952,5881230.502726934,41603419.719746456,-551708.7894529104,0,-8499361.80874981,0.0,44804346.18229833,45748931.60094235,19348506.563581184,-4145511.8811958954,0.858635887570187,3753674.859284338,1,6,-9.061439767285199
2021-06-23 00:00:00+00:00,18091.408473689276,10041954.760264914,35845302.24891087,10053283.724025682,45898585.97293655,4295166.253190093,1,-551708.7894529104,0.0,43219044.733960785,46276771.23502766,20853813.37160305,-378185.2620911151,0.7809674631381137,3416722.03481747,2,6,-0.8172248235954291
2021-06-24 00:00:00+00:00,19109.006387519512,12991701.71787588,37506433.18759776,13005829.020632142,50512262.2082299,4613676.235293351,1,4295166.253190093,1.0,46004755.96697097,46863977.27952189,22512619.34516426,3648284.9287080094,0.7425213512113675,3776109.2592041404,3,6,7.784838463341859
2021-06-25 00:00:00+00:00,21304.391111461453,6841342.328812864,40489690.658986785,6848559.897460435,47338250.55644722,-3174011.6517826766,0,4613676.235293351,1.0,47916366.24587122,46782338.52816437,24063322.507728465,555912.028282851,0.8553271441813411,3755855.564545343,4,6,1.1882946551467821
2021-06-26 00:00:00+00:00,19141.90496591776,12540213.024713064,34248251.0498697,12565990.608230293,46814241.658099994,-524008.89834722877,0,-3174011.6517826766,0.0,48221584.80759237,46425196.99180124,25600388.4386907,389044.6662987545,0.7315776105057109,3590180.746583466,5,6,0.8380032644071719
