day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2021-05-05 00:00:00.000 UTC,3.3785630176669152,3995.886061000001,11402.384826655483,4001.871579203484,15404.256405858969
2021-05-06 00:00:00.000 UTC,72.37045447414698,261594.50982499943,253109.2190297281,262035.1348941146,515144.35392384266
2021-05-07 00:00:00.000 UTC,338.6154149204215,1571560.7002219935,1190401.3506772134,1583636.86185332,2774038.2125305333
2021-05-08 00:00:00.000 UTC,88.8220099289722,1210639.011428994,325146.2783101014,1211803.7428409648,1536950.0211510663
2021-05-09 00:00:00.000 UTC,109.91860956971357,1105176.465994993,429035.5610900996,1106285.027063917,1535320.5881540163
2021-05-10 00:00:00.000 UTC,175.4994493346693,1023009.0309949944,713969.7664929344,1024057.6969504023,1738027.4634433368
2021-05-11 00:00:00.000 UTC,101.42668374996369,1239724.8725499946,405076.5759441801,1240375.6506252766,1645452.2265694567
2021-05-12 00:00:00.000 UTC,100.41470166613794,779739.7706099947,423466.2823333577,779921.7559161102,1203388.038249468
2021-05-13 00:00:00.000 UTC,117.48172195765504,744279.9053819927,449676.3676139097,745085.2911844683,1194761.658798378
2021-05-14 00:00:00.000 UTC,65.73484226427883,927098.3924189928,261389.10181824456,928793.0799939574,1190182.181812202
2021-05-15 00:00:00.000 UTC,142.9104501560883,635440.1072359935,558386.8762210495,636606.9275137397,1194993.8037347891
2021-05-16 00:00:00.000 UTC,187.8498047257372,491882.0896889951,696765.3600051508,492950.1347901772,1189715.494795328
2021-05-17 00:00:00.000 UTC,261.48891250833304,50178.5106429935,888493.3916335785,50302.83191042318,938796.2235440016
2021-05-18 00:00:00.000 UTC,357.7955915019791,70417.38652698998,1226358.925318939,70457.69754671896,1296816.6228656576
2021-05-19 00:00:00.000 UTC,374.15926227972705,32212.22698698996,1060095.4082702594,32342.66044570081,1092438.0687159605
2021-05-20 00:00:00.000 UTC,353.8472439232527,50358.29830399016,954701.2055168372,50441.64688304994,1005142.8523998872
2021-05-21 00:00:00.000 UTC,360.29837783514745,33220.678804990195,948640.4204638522,33270.63117095504,981911.0516348073
2021-05-22 00:00:00.000 UTC,354.5577031426641,28729.548673990183,834801.6062119268,28785.194418088944,863586.8006300158
2021-05-23 00:00:00.000 UTC,237.7180643715739,23099.05762899018,500926.7110726074,23153.594905077607,524080.30597768497
2021-05-24 00:00:00.000 UTC,221.65994938096892,215366.66321799048,523711.3444868019,215670.3877937988,739381.7322806007
2021-05-25 00:00:00.000 UTC,225.45259633745795,163718.11316999004,584195.3979099107,163887.60348358113,748083.0013934918
2021-05-26 00:00:00.000 UTC,222.30179600679307,195955.40883399016,621067.2285313301,196088.45098977603,817155.6795211062
2021-05-27 00:00:00.000 UTC,230.0368689557113,64944.84954999006,637277.9353379898,64985.79389508728,702263.7292330771
